,type,time,entity_id,coordinates,trajectory_id
0,trajectory,2018-10-03T10:56:03Z,1239,"[104.09455, 30.68834]",30431
1,trajectory,2018-10-03T10:56:34Z,1239,"[104.09501, 30.68883]",30431
2,trajectory,2018-10-03T10:57:05Z,1239,"[104.095, 30.68886]",30431
3,trajectory,2018-10-03T10:57:33Z,1239,"[104.095, 30.68887]",30431
4,trajectory,2018-10-03T10:58:03Z,1239,"[104.095, 30.68887]",30431
5,trajectory,2018-10-03T10:58:33Z,1239,"[104.09565, 30.69022]",30431
6,trajectory,2018-10-03T10:59:05Z,1239,"[104.09663, 30.69224]",30431
7,trajectory,2018-10-03T10:59:35Z,1239,"[104.09793, 30.69168]",30431
8,trajectory,2018-10-03T11:00:05Z,1239,"[104.09855, 30.69145]",30431
9,trajectory,2018-10-03T11:00:35Z,1239,"[104.10004, 30.69071]",30431
10,trajectory,2018-10-03T11:01:07Z,1239,"[104.10045, 30.6904]",30431
11,trajectory,2018-10-03T11:01:38Z,1239,"[104.10078, 30.69019]",30431
12,trajectory,2018-10-03T11:02:08Z,1239,"[104.09973, 30.6885]",30431
13,trajectory,2018-10-03T11:02:40Z,1239,"[104.09749, 30.68807]",30431
14,trajectory,2018-10-03T11:03:11Z,1239,"[104.09521, 30.68887]",30431
15,trajectory,2018-10-03T11:03:43Z,1239,"[104.09977, 30.68662]",30431
16,trajectory,2018-10-03T11:04:15Z,1239,"[104.10194, 30.68556]",30431
17,trajectory,2018-10-03T11:04:45Z,1239,"[104.10258, 30.68586]",30431
18,trajectory,2018-10-03T11:05:16Z,1239,"[104.10328, 30.68713]",30431
19,trajectory,2018-10-03T11:05:47Z,1239,"[104.10578, 30.69035]",30431
20,trajectory,2018-10-03T11:06:18Z,1239,"[104.10811, 30.69392]",30431
21,trajectory,2018-10-03T11:06:50Z,1239,"[104.10627, 30.69727]",30431
22,trajectory,2018-10-03T11:07:21Z,1239,"[104.10464, 30.70007]",30431
23,trajectory,2018-10-03T11:07:52Z,1239,"[104.10535, 30.70109]",30431
24,trajectory,2018-10-03T11:08:22Z,1239,"[104.10538, 30.70107]",30431
25,trajectory,2018-10-03T11:08:52Z,1239,"[104.10587, 30.70258]",30431
26,trajectory,2018-10-03T11:09:22Z,1239,"[104.10735, 30.70397]",30431
27,trajectory,2018-10-03T11:09:53Z,1239,"[104.10961, 30.70396]",30431
